LineItemId,userId,TimeInterval,UsageStartDate,UsageEndDate,LineItemType,ProductCode,productFamily,ProductName,Cost,exchangeRate
zzzl6wbarnopkuuug7aflxd7tc2g4ioyyqckne3kgmjn3bh424xq,12344321,2022-11-01T00:00:00Z/2022-12-01T00:00:00Z,2022-11-22T23:00:00Z,2022-11-23T00:00:00Z,Usage,AWSBackup,,AWS Backup,0.001433558,1441.1
zzfypmz4zegdz6nu6sj5wxenv6a2jwwipguynh35ieztn36w3vsq,12344321,2022-11-01T00:00:00Z/2022-12-01T00:00:00Z,2022-11-01T03:00:00Z,2022-11-30T07:00:00Z,Usage,AmazonS3,,Amazon Simple Storage Service,0.0,1441.1
zz4zwv3xz6xsekqewh5kavcsns6zfbbpuqarwahqje6im62erapq,12344321,2022-11-01T00:00:00Z/2022-12-01T00:00:00Z,2022-11-30T23:00:00Z,2022-12-01T00:00:00Z,Usage,AmazonEC2,,Amazon Elastic Compute Cloud,3.07906e-05,1441.1
zyywjxpvtaxsw3m5pjochrcc4r6snds73ubc65vsqutvlg7c7adq,12344321,2022-11-01T00:00:00Z/2022-12-01T00:00:00Z,2022-11-01T00:00:00Z,2022-11-30T19:00:00Z,Usage,AmazonEC2,,Amazon Elastic Compute Cloud,0.0,1441.1
zylzbiziyf3ercr64swbbzsxmpm2eqfyfgdpyub374inqznkg3dq,12344321,2022-11-01T00:00:00Z/2022-12-01T00:00:00Z,2022-11-11T21:00:00Z,2022-11-28T18:00:00Z,Usage,AmazonEC2,,Amazon Elastic Compute Cloud,1.58923e-05,1441.1
zyjzg5xh26gbznepliqnvtbz24p7fdlrjuydkubzzybyoxna6d3a,12344321,2022-11-01T00:00:00Z/2022-12-01T00:00:00Z,2022-11-30T09:00:00Z,2022-11-30T10:00:00Z,Usage,AmazonEC2,,Amazon Elastic Compute Cloud,0.0,1441.1
zy2yoopq3mjjlbiqjajufhnxflkijjheadp3dhdu6uqoxnicka7q,12344321,2022-11-01T00:00:00Z/2022-12-01T00:00:00Z,2022-11-01T23:00:00Z,2022-11-30T23:00:00Z,Usage,AWSELB,,Elastic Load Balancing,0.0,1441.1
zx6tlljntheqm4jgmgfom5ni6ea2arclqb3kb5h6rtakxdb5shqa,12344321,2022-11-01T00:00:00Z/2022-12-01T00:00:00Z,2022-11-01T02:00:00Z,2022-11-30T15:00:00Z,Usage,AmazonS3,,Amazon Simple Storage Service,0.0,1441.1
zx5wvf6smpddeks2yzvbn5m5ylyjgcvjuv2gkatn4ldyjrupzt3q,12344321,2022-11-01T00:00:00Z/2022-12-01T00:00:00Z,2022-11-30T00:00:00Z,2022-12-01T00:00:00Z,Usage,AWSELB,,Elastic Load Balancing,5.2517e-06,1441.1
zx4v5mnrlkhrl42ihibecb6fjaln72faxv2ewt2kn6us5i4aqoxa,12344321,2022-11-01T00:00:00Z/2022-12-01T00:00:00Z,2022-11-15T01:00:00Z,2022-11-23T00:00:00Z,Usage,AWSELB,,Elastic Load Balancing,2.9497e-06,1441.1
zwxwvlhofy6acesgxner2ov2l2ipyhdg5tqnsk7mnwtuyuhibtsq,12344321,2022-11-01T00:00:00Z/2022-12-01T00:00:00Z,2022-11-01T00:00:00Z,2022-11-30T16:00:00Z,Usage,AmazonS3,,Amazon Simple Storage Service,0.0,1441.1
zwxmr5rzgwkuav4shvpxrz7rrjdohwn63hmdff4xqwjoo6z5jufq,12344321,2022-11-01T00:00:00Z/2022-12-01T00:00:00Z,2022-11-09T05:00:00Z,2022-11-19T01:00:00Z,Usage,AWSELB,,Elastic Load Balancing,3.60431e-05,1441.1
zwgifg5qs7upkv7faq5ry5ffjaoex6yvvo2sjaymjsm2fe3bhjxa,12344321,2022-11-01T00:00:00Z/2022-12-01T00:00:00Z,2022-11-01T08:00:00Z,2022-11-29T17:00:00Z,Usage,AmazonEC2,,Amazon Elastic Compute Cloud,0.0,1441.1
zwfu5kbijqoslc2i2iv2a6ipb5kfwos4sgmomf7wmm5w2w5atdda,12344321,2022-11-01T00:00:00Z/2022-12-01T00:00:00Z,2022-11-01T00:00:00Z,2022-11-22T05:00:00Z,SavingsPlanCoveredUsage,AmazonEC2,32-bit or 64-bit,Amazon Elastic Compute Cloud,7.601908839,1441.1
zw672to7o2wmqockuor57zoshgd3ye7ojndqfwobfcl4m4jfhl4a,12344321,2022-11-01T00:00:00Z/2022-12-01T00:00:00Z,2022-11-01T01:00:00Z,2022-11-30T19:00:00Z,Usage,AmazonEC2,,Amazon Elastic Compute Cloud,0.0,1441.1
